name	HIF1a	EPCAM	pFAK
plate10-35_S899_L001	8.74621	3.281245	1.000953
plate10-36_S900_L001	72.410904	14.215846	24.168041
plate10-37_S901_L001	28.93222	6.738594	3.928206
plate10-38_S902_L001	15.41557	3.371346	1.001059
plate10-39_S903_L001	18.789377	7.439927	3.823897
plate10-3_S867_L001	7.78243	1.671654	2.001112
plate10-40_S904_L001	12.649344	17.174358	7.373828
plate10-41_S905_L001	12.202767	2.946258	1.384031
plate10-42_S906_L001	24.18338	7.786271	5.786597
plate10-43_S907_L001	25.523439	5.01081	3.312992
plate10-44_S908_L001	6.926561	1.862967	4.921303
plate10-45_S909_L001	11.669838	4.300026	3.528041
plate10-46_S910_L001	27.179222	5.193822	1.254006
plate10-47_S911_L001	9.403385	6.330081	2.693491
plate10-48_S912_L001	7.99754	2.529044	1.764844
plate10-49_S913_L001	9573.398438	1.001376	32.826332
plate10-4_S868_L001	21.125198	6.863088	3.464532
plate10-50_S914_L001	17.176781	6.801395	1.612865
plate10-51_S915_L001	52.396397	14.092529	13.352158
plate10-52_S916_L001	14.608265	4.87569	1.500781
plate10-53_S917_L001	11.463403	4.300632	3.895503
plate10-54_S918_L001	20.203314	7.444386	3.055696
plate10-55_S919_L001	21.907568	13.972742	5.434072
plate10-56_S920_L001	12.319964	7.117512	5.892464
plate10-57_S921_L001	4458.805176	1.897251	18.467411
plate10-58_S922_L001	42.247044	4.262875	3.028761
plate10-59_S923_L001	8.220043	1.749843	1.001871
plate10-5_S869_L001	6.220075	10.574611	2.397359
plate10-60_S924_L001	5.736601	1.001941	1.001941
plate10-61_S925_L001	20.391598	7.183337	6.565439
plate10-62_S926_L001	26.469625	8.834567	2.171752
plate10-63_S927_L001	11.467846	3.31451	3.405164
plate10-64_S928_L001	18.807924	3.862255	1.126379
plate10-65_S929_L001	9.646616	1.762356	1
plate10-66_S930_L001	9.560576	6.55272	2.738516
plate10-67_S931_L001	7567.229492	12.522381	162.542953
plate10-68_S932_L001	9.058937	3.368137	1.000106
plate10-69_S933_L001	18.771492	7.36629	5.573847
plate10-6_S870_L001	15.264071	3.718683	1.582324
plate10-70_S934_L001	6.917285	1.911358	1.155026
plate10-71_S935_L001	49.59293	5.990334	1.000247
plate10-72_S936_L001	14.594362	4.412187	3.106777
plate10-73_S937_L001	10.369622	2.690453	1.000318
plate10-74_S938_L001	117.615822	12.08327	5.727509
plate10-75_S939_L001	21.304047	9.481992	3.108312
plate10-76_S940_L001	41.077408	12.758233	4.829648
plate10-77_S941_L001	9.228906	1.421184	1.000706
plate10-78_S942_L001	8.063826	4.144562	1.000671
plate10-79_S943_L001	11.764902	2.000125	2.394319
plate10-7_S871_L001	20.547571	21.686926	6.55642
plate10-80_S944_L001	5.677425	4.070241	8.82181
plate10-81_S945_L001	7.502912	1.611614	1.000529
plate10-82_S946_L001	23.513012	12.986609	1.731792
plate10-83_S947_L001	9.651042	3.82147	1.395502
plate10-84_S948_L001	7.237005	1.241463	1.640694
plate10-85_S949_L001	34.302425	10.370354	2.207591
plate10-86_S950_L001	15.691515	4.414522	2.504897
plate10-87_S951_L001	27.407393	15.137536	3.053112
plate10-88_S952_L001	34.319366	4.918008	4.336124
plate10-89_S953_L001	12.760483	7.24058	1.000918
plate10-8_S872_L001	15.00358	1.732586	1.000953
plate10-90_S954_L001	7.506352	1.764098	2.741126
plate10-91_S955_L001	11.664081	4.660291	1.18758
plate10-92_S956_L001	28.67417	4.831181	2.644445
plate10-93_S957_L001	6.739069	2.505604	1.001094
plate10-94_S958_L001	17.173752	5.479885	4.702894
plate10-95_S959_L001	11.152713	22.093042	4.788429
plate10-96_S960_L001	20.012533	5.054123	1.0012
plate10-9_S873_L001	11.985637	1.528023	1.001235
